user_uuid,n_pratiche,quota_challenge,n_coach_diversi,categoria_top,livello_top,piattaforma_top,paese,iscrizione,prima_pratica,ultima_pratica,mesi_attivita,giorni_iscritto,cluster,persona
1,7,71.0,6,power yoga,basic,tv,it,2021-05-20,2022-05-13,2023-11-18,18.2,952,1,I Campioni
2,6,83.0,4,power yoga,advanced,tv,it,2022-01-06,2023-01-10,2023-07-05,5.8,721,0,Le Reclute in Crescita
3,3,67.0,3,hatha,advanced,mobile,it,2020-07-22,2021-01-12,2021-07-16,6.1,1254,3,I Distaccati
4,4,100.0,3,hatha,advanced,pc,fr,2022-05-10,2023-01-25,2023-07-10,5.5,597,0,Le Reclute in Crescita
5,4,25.0,3,power yoga,advanced,tv,uk,2022-01-25,2023-03-14,2023-12-26,9.4,702,3,I Distaccati
6,2,100.0,2,hatha,advanced,tv,it,2020-09-14,2022-03-05,2022-09-01,5.9,1200,4,I Cacciatori di Challenge
7,5,60.0,4,power yoga,basic,mobile,fr,2021-09-01,2022-02-22,2022-12-24,10.0,848,0,Le Reclute in Crescita
8,2,100.0,2,meditation,advanced,tv,fr,2022-04-23,2023-10-27,2023-12-05,1.3,614,4,I Cacciatori di Challenge
9,3,33.0,3,meditation,basic,tv,uk,2021-03-21,2022-04-23,2023-08-19,15.9,1012,3,I Distaccati
10,6,100.0,5,power yoga,advanced,mobile,it,2022-08-05,2023-03-04,2023-12-05,9.1,510,0,Le Reclute in Crescita
11,6,50.0,6,meditation,advanced,mobile,it,2020-11-23,2021-05-27,2023-06-25,24.9,1130,1,I Campioni
12,2,100.0,2,power yoga,advanced,pc,it,2022-08-21,2023-10-10,2023-11-06,0.9,494,4,I Cacciatori di Challenge
14,3,67.0,3,power yoga,intermediate,tv,fr,2021-01-14,2022-03-28,2023-03-04,11.2,1078,2,Lo Zoccolo Duro
15,9,78.0,7,power yoga,intermediate,tv,uk,2022-05-13,2023-01-11,2023-10-02,8.7,594,1,I Campioni
